id,text,officer_id,priority,eta_days
CMP0001,Please look into this urgently. Illegal dumping of industrial waste in the river This is urgent.,OFF008,High,2
CMP0002,This is affecting many families. Mosquito breeding in stagnant water near park Residents are very unhappy.,OFF006,Medium,3
CMP0003,Kindly take immediate action. Smoke from unauthorized factory affecting lungs Residents are very unhappy.,OFF008,High,1
CMP0004,This is affecting many families. There is a dengue outbreak in our ward Please resolve soon.,OFF006,High,1
CMP0005,This is affecting many families. Expired medicines found at government hospital Many complaints already filed.,OFF006,High,4
CMP0006,Kindly take immediate action. Mosquito breeding in stagnant water near park Many complaints already filed.,OFF006,Medium,5
CMP0007,This is affecting many families. The road in front of my house has a large pothole causing accidents,OFF001,High,4
CMP0008,This is affecting many families. Public toilet near bus stand is extremely dirty Please resolve soon.,OFF002,Medium,4
CMP0009,Please look into this urgently. Bus number 45 has not been running for two weeks,OFF007,Medium,6
CMP0010,We have complained before but no action. Trees fallen on road after storm blocking traffic Many complaints already filed.,OFF001,High,2
CMP0011,Garbage has not been collected from our colony for 10 days,OFF002,High,1
CMP0012,Please look into this urgently. Dead animals lying on road not removed Many complaints already filed.,OFF002,High,2
CMP0013,We have complained before but no action. No electricity for 2 days after last night storm Many complaints already filed.,OFF003,High,2
CMP0014,Please look into this urgently. Stray dogs are attacking people near the school Please resolve soon.,OFF005,High,2
CMP0015,This is affecting many families. There is a dengue outbreak in our ward Residents are very unhappy.,OFF006,High,3
CMP0016,Kindly take immediate action. Public toilet near bus stand is extremely dirty This is urgent.,OFF002,Medium,3
CMP0017,We have complained before but no action. Electricity bill is much higher than usage Please resolve soon.,OFF003,Low,15
CMP0018,This problem exists since many months. Stray dogs are attacking people near the school Please resolve soon.,OFF005,High,1
CMP0019,Kindly take immediate action. Sewage water overflowing on the main road,OFF002,High,3
CMP0020,This is affecting many families. Expired medicines found at government hospital This is urgent.,OFF006,High,1
CMP0021,Please look into this urgently. Mosquito breeding in stagnant water near park This is urgent.,OFF006,Medium,6
CMP0022,Please look into this urgently. Public toilet near bus stand is extremely dirty Please resolve soon.,OFF002,Medium,4
CMP0023,Auto drivers are overcharging passengers,OFF007,Low,12
CMP0024,This is affecting many families. Construction dust causing breathing problems This is urgent.,OFF008,High,3
CMP0025,Manhole cover missing on the street is dangerous Many complaints already filed.,OFF001,High,2
CMP0026,Kindly take immediate action. Smoke from unauthorized factory affecting lungs Many complaints already filed.,OFF008,High,4
CMP0027,This is affecting many families. Electricity bill is much higher than usage Please resolve soon.,OFF003,Low,16
CMP0028,Please look into this urgently. There is a dengue outbreak in our ward Residents are very unhappy.,OFF006,High,1
CMP0029,Sewage water overflowing on the main road,OFF002,High,1
CMP0030,Kindly take immediate action. Dead animals lying on road not removed Many complaints already filed.,OFF002,High,3
CMP0031,We have complained before but no action. Children are falling sick due to contaminated water Many complaints already filed.,OFF004,High,1
CMP0032,Illegal dumping of industrial waste in the river Many complaints already filed.,OFF008,High,3
CMP0033,Please look into this urgently. Traffic signals not working at main crossing This is urgent.,OFF007,High,4
